2013-Sep,0.2232
2013-Oct,0.2258
2013-Nov,0.2234
2013-Dec,0.2735
2014-Jan,0.2920
2014-Feb,0.2881
2014-Mar,0.3053
2014-Apr,0.3297
2014-May,0.3246
2014-Jun,0.2414
2014-Jul,0.2050
2014-Aug,0.1916
2014-Sep,0.0971
2014-Oct,0.0826
2014-Nov,0.0809
2014-Dec,0.0809
2015-Jan,0.0627
2015-Feb,0.0482
2015-Mar,0.0272
2015-Apr,0.0047
2015-May,-0.0104
2015-Jun,-0.0139
2015-Jul,-0.0187
2015-Aug,-0.0277
2015-Sep,-0.0370
2015-Oct,-0.0536
2015-Nov,-0.0876
2015-Dec,-0.1263
2016-Jan,-0.1461
2016-Feb,-0.1836
2016-Mar,-0.2285
2016-Apr,-0.2492
2016-May,-0.2572
2016-Jun,-0.2679
2016-Jul,-0.2945
2016-Aug,-0.2982
2016-Sep,-0.3016
2016-Oct,-0.3090
2016-Nov,-0.3127
2016-Dec,-0.3158
2017-Jan,-0.3255
2017-Feb,-0.3286
2017-Mar,-0.3293
2017-Apr,-0.3304
2017-May,-0.3295
2017-Jun,-0.3300
2017-Jul,-0.3304
2017-Aug,-0.3291
2017-Sep,-0.3294
2017-Oct,-0.3295
2017-Nov,-0.3290
2017-Dec,-0.3279
2018-Jan,-0.3285
2018-Feb,-0.3285
2018-Mar,-0.3279
2018-Apr,-0.3285
2018-May,-0.3252
2018-Jun,-0.3220
2018-Jul,-0.3207
2018-Aug,-0.3190
2018-Sep,-0.3188
2018-Oct,-0.3177
2018-Nov,-0.3164
2018-Dec,-0.3119
2019-Jan,-0.3080
2019-Feb,-0.3084
2019-Mar,-0.3092
2019-Apr,-0.3105
2019-May,-0.3119
2019-Jun,-0.3289
2019-Jul,-0.3649
2019-Aug,-0.4077
2019-Sep,-0.4176
2019-Oct,-0.4129
2019-Nov,-0.4013
2019-Dec,-0.3947
2020-Jan,-0.3911
2020-Feb,-0.4088
2020-Mar,-0.4166
2020-Apr,-0.2540
2020-May,-0.2701
2020-Jun,-0.3760
